symbol,date,time,signal,price,lot,reason
NSE:ADANIENT24AUGFUT,2024-07-31,10:15:01,BUY,3178.25,1,strategy signal
NSE:ADANIENT24AUGFUT,2024-07-31,12:18:52,SELL,3218.3,1,takeprofit
NSE:ADANIENT24AUGFUT,2024-07-31,12:30:01,BUY,3211.4,1,strategy signal
NSE:ADANIENT24AUGFUT,2024-07-31,14:15:01,SELL,3187.55,2,strategy signal
NSE:ADANIENT24AUGFUT,2024-08-01,09:40:51,BUY,3221.55,2,strategy signal
NSE:ADANIENT24AUGFUT,2024-08-01,12:00:01,SELL,3195.5,2,strategy signal
NSE:ADANIENT24AUGFUT,2024-08-01,13:15:01,BUY,3214.1,2,strategy signal
NSE:ADANIENT24AUGFUT,2024-08-01,13:41:19,SELL,3254.2,1,takeprofit
NSE:ADANIENT24AUGFUT,2024-08-01,13:45:01,BUY,3256.0,1,strategy signal
NSE:ADANIENT24AUGFUT,2024-08-01,15:00:01,SELL,3207.35,2,strategy signal
NSE:ADANIENT24AUGFUT,2024-08-01,15:29:00,BUY,3250.0,2,strategy signal
NSE:ADANIENT24AUGFUT,2024-08-02,09:40:53,SELL,3163.15,2,strategy signal
