symbol,date,time,signal,price,lot,reason
NSE:AARTIIND24AUGFUT,2024-07-29,13:10:39,BUY,724.55,1,new order
NSE:ABFRL24AUGFUT,2024-07-29,14:45:30,BUY,341.8,1,new order
NSE:AARTIIND24AUGFUT,2024-07-29,15:15:30,SELL,721.1,2,new order
NSE:AARTIIND24AUGFUT,2024-07-30,10:30:23,BUY,726.35,2,new order
NSE:ADANIENT24AUGFUT,2024-07-30,11:45:00,BUY,3115.95,2,new order
NSE:AARTIIND24AUGFUT,2024-07-30,11:45:02,BUY,730.25,1,new order
NSE:ADANIENT24AUGFUT,2024-07-30,12:24:22,SELL,3158.1,1,takeprofit
NSE:ADANIENT24AUGFUT,2024-07-30,12:30:10,BUY,3151.65,1,new order
NSE:AARTIIND24AUGFUT,2024-07-30,13:05:51,SELL,750.65,1,takeprofit
NSE:AARTIIND24AUGFUT,2024-07-30,13:15:21,BUY,749.0,1,new order
NSE:ADANIENT24AUGFUT,2024-07-31,10:00:37,SELL,3192.95,1,takeprofit
NSE:ABFRL24AUGFUT,2024-07-31,10:04:48,SELL,347.3,1,takeprofit
NSE:ADANIENT24AUGFUT,2024-07-31,10:15:03,BUY,3178.15,1,new order
NSE:ABFRL24AUGFUT,2024-07-31,10:15:04,BUY,347.5,1,new order
NSE:ADANIENT24AUGFUT,2024-07-31,12:19:03,SELL,3218.3,1,takeprofit
NSE:ADANIENT24AUGFUT,2024-07-31,12:30:01,BUY,3211.4,1,new order
NSE:ADANIENT24AUGFUT,2024-07-31,14:15:23,SELL,3188.0,2,new order
NSE:AARTIIND24AUGFUT,2024-07-31,14:30:26,BUY,755.85,1,new order
